Time,Slice,Asked,Admitted,Dropped,SLA_violation
0,eMBB,0,0,0,0
0,URLLC,0,0,0,1
0,mMTC,0,0,0,1
1,eMBB,11.862334731471602,11.862334731471602,0,0
1,URLLC,4.386806235570464,4.386806235570464,0,0
1,mMTC,0.3753224749292109,0.3709122668174496,0.0044102081117612935,0
2,eMBB,12.65255366678902,12.65255366678902,0,0
2,URLLC,4.625893566926319,4.153260067993509,0.4726334989328098,0
2,mMTC,0.4227000083095658,0,0.4227000083095658,1
3,eMBB,12.657133293038989,12.657133293038989,0,0
3,URLLC,4.613864734533445,3.930793581769578,0.6830711527638673,0
3,mMTC,0.4159994463374767,0,0.4159994463374767,1
4,eMBB,13.121887272603182,13.121887272603182,0,0
4,URLLC,4.685325297450611,3.6420518373889017,1.0432734600617097,0
4,mMTC,0.3666990886340892,0,0.3666990886340892,1
5,eMBB,11.522351395119124,11.522351395119124,0,0
5,URLLC,4.470772580795115,4.470772580795115,0,0
5,mMTC,0.4189496372711583,0.4189496372711583,0,0
6,eMBB,12.915331899235754,12.915331899235754,0,0
6,URLLC,4.582698174755634,3.855439803768663,0.7272583709869709,0
6,mMTC,0.41159839096391965,0,0.41159839096391965,1
7,eMBB,11.952874917283113,11.952874917283113,0,0
7,URLLC,4.308529942061076,4.308529942061076,0,0
7,mMTC,0.4325335304493378,0.4325335304493378,0,0
8,eMBB,12.991993314570804,12.991993314570804,0,0
8,URLLC,4.320969198840492,3.906570246754777,0.4143989520857154,0
8,mMTC,0.4223387930927591,0,0.4223387930927591,1
9,eMBB,12.772000594550263,12.772000594550263,0,0
9,URLLC,4.515363376686935,3.822425046150986,0.6929383305359487,0
9,mMTC,0.4190738688409745,0,0.4190738688409745,1
10,eMBB,11.568077106561123,11.568077106561123,0,0
10,URLLC,4.551558311009405,4.551558311009405,0,0
10,mMTC,0.3843276736941064,0.3843276736941064,0,0
11,eMBB,11.449672451774923,11.449672451774923,0,0
11,URLLC,4.462011705639463,4.462011705639463,0,0
11,mMTC,0.41616010698733014,0.41616010698733014,0,0
12,eMBB,12.158953933704868,12.158953933704868,0,0
12,URLLC,4.619604002400051,4.441067563135714,0.17853643926433627,0
12,mMTC,0.43104545265694033,0,0.43104545265694033,1
13,eMBB,13.172341029057788,13.172341029057788,0,0
13,URLLC,4.5910852547968455,3.623183039895009,0.9679022149018364,0
13,mMTC,0.39005824747971535,0,0.39005824747971535,1
14,eMBB,10.84993074312392,10.84993074312392,0,0
14,URLLC,4.682609633659134,4.682609633659134,0,0
14,mMTC,0.3627306171409618,0.3627306171409618,0,0
15,eMBB,11.707346241539582,11.707346241539582,0,0
15,URLLC,4.597559261170653,4.597559261170653,0,0
15,mMTC,0.3628826291157767,0.29704527391170554,0.06583735520407114,1
16,eMBB,11.323755180574151,11.323755180574151,0,0
16,URLLC,4.557635114841492,4.557635114841492,0,0
16,mMTC,0.39350044425173186,0.39350044425173186,0,0
17,eMBB,12.020656564058664,12.020656564058664,0,0
17,URLLC,4.688684695974334,4.688684695974334,0,0
17,mMTC,0.4122800671049378,0.014298850924759243,0.39798121618017857,1
18,eMBB,11.315426038431747,11.315426038431747,0,0
18,URLLC,4.558329806793812,4.558329806793812,0,0
18,mMTC,0.42965773224570697,0.42965773224570697,0,0
19,eMBB,10.869125524294134,10.869125524294134,0,0
19,URLLC,4.601577403640045,4.601577403640045,0,0
19,mMTC,0.40937475701790554,0.40937475701790554,0,0
20,eMBB,11.951639133771558,11.951639133771558,0,0
20,URLLC,4.689654890212702,4.689654890212702,0,0
20,mMTC,0.42949936234277936,0.11944187577609622,0.31005748656668314,1
21,eMBB,11.95638254834097,11.95638254834097,0,0
21,URLLC,4.676434960525034,4.676434960525034,0,0
21,mMTC,0.4153980968514548,0.17630386730078484,0.23909422955066995,1
22,eMBB,11.268049978082436,11.268049978082436,0,0
22,URLLC,4.396188157053255,4.396188157053255,0,0
22,mMTC,0.38385519348241726,0.38385519348241726,0,0
23,eMBB,12.681469037475496,12.681469037475496,0,0
23,URLLC,4.4496644607257725,3.9863637712184623,0.4633006895073102,0
23,mMTC,0.4069203421947311,0,0.4069203421947311,1
24,eMBB,11.208106549011932,11.208106549011932,0,0
24,URLLC,4.600074613841915,4.600074613841915,0,0
24,mMTC,0.42453387055405023,0.42453387055405023,0,0
25,eMBB,11.247153732994391,11.247153732994391,0,0
25,URLLC,4.356862182751466,4.356862182751466,0,0
25,mMTC,0.3869261979023709,0.3869261979023709,0,0
26,eMBB,12.866271066755575,12.866271066755575,0,0
26,URLLC,4.370207077542963,3.7692901901185873,0.6009168874243755,0
26,mMTC,0.38344515700473336,0,0.38344515700473336,1
27,eMBB,12.523802509674173,12.523802509674173,0,0
27,URLLC,4.458527299317204,4.237845785734958,0.22068151358224597,0
27,mMTC,0.3666062961707663,0,0.3666062961707663,1
28,eMBB,11.517746250361148,11.517746250361148,0,0
28,URLLC,4.52084592343658,4.52084592343658,0,0
28,mMTC,0.43389952109911795,0.43389952109911795,0,0
29,eMBB,13.174953392841196,13.174953392841196,0,0
29,URLLC,4.674453210050528,3.4520375742433416,1.2224156358071863,1
29,mMTC,0.3851079721686951,0,0.3851079721686951,1
30,eMBB,12.995998076447599,12.995998076447599,0,0
30,URLLC,4.360706681312069,3.736405121584589,0.6243015597274804,0
30,mMTC,0.43202321768245094,0,0.43202321768245094,1
31,eMBB,11.184735909760956,11.184735909760956,0,0
31,URLLC,4.325244820892095,4.325244820892095,0,0
31,mMTC,0.36529449250926893,0.36529449250926893,0,0
32,eMBB,12.954470167431364,12.954470167431364,0,0
32,URLLC,4.645165788256635,3.6942347833443776,0.950931004912257,0
32,mMTC,0.40341924190517225,0,0.40341924190517225,1
33,eMBB,11.93730614559325,11.93730614559325,0,0
33,URLLC,4.603890590818379,4.603890590818379,0,0
33,mMTC,0.4137883479965224,0.06313474828308152,0.3506535997134409,1
34,eMBB,12.14550205866995,12.14550205866995,0,0
34,URLLC,4.607724448954144,4.607724448954144,0,0
34,mMTC,0.409616501456199,0.06957213671607398,0.340044364740125,1
35,eMBB,11.244026384116191,11.244026384116191,0,0
35,URLLC,4.309894102016826,4.309894102016826,0,0
35,mMTC,0.41202935481690567,0.41202935481690567,0,0
36,eMBB,11.042961128069532,11.042961128069532,0,0
36,URLLC,4.3463785734948175,4.3463785734948175,0,0
36,mMTC,0.4370630668946015,0.4370630668946015,0,0
37,eMBB,13.122978164604476,13.122978164604476,0,0
37,URLLC,4.597990209413489,3.74697989939844,0.8510103100150488,0
37,mMTC,0.38463495949934284,0,0.38463495949934284,1
38,eMBB,11.446427109234612,11.446427109234612,0,0
38,URLLC,4.513268528269852,4.513268528269852,0,0
38,mMTC,0.40744422207799263,0.40744422207799263,0,0
39,eMBB,12.923713889235676,12.923713889235676,0,0
39,URLLC,4.688525481491253,3.7345455709035615,0.9539799105876918,0
